"ПН","08:30-09:50","3-302","Українська мова (за професійним спрямуванням)","0","Кадочнікова О. ","1-10"
"ПН","10:00-11:20","8-8","Англійська мова","71","Тригуб О. ","1-15"
"ПН","10:00-11:20","2-404","Англійська мова","72","Залєська Л. ","1-15"
"ПН","10:00-11:20","4-320","Англійська мова","73","Сидорова О. ","1-15"
"ПН","10:00-11:20","2-402","Англійська мова","74","Бражник Н. ","1-15"
"ПН","11:40-13:00","3-220а","Математичний аналіз","0","Кашпіровський О. ","1-15"
"ПН","13:30-14:50","3-220а","Математичний аналіз","1","Кашпіровський О. ","1-15"
"ВТ","11:40-13:00","3-220а","Алгебра та геометрія","0","Дяченко С. ","1-15"
"ВТ","13:30-14:50","3-220а","Алгебра та геометрія","1","Дяченко С. ","1-15"
"СР","08:30-09:50","1-223","Теорія алгоритмів та математична логіка","0","Боднарчук Ю. ","1-15"
"СР","10:00-11:20","1-223","Теорія алгоритмів та математична логіка","1","Прокоф'єв П. ","1-15"
"СР","11:40-13:00","1-223","Процедурне програмування (на базі Сі/Сі++)","0","Бублик В. ","1-15"
"СР","13:30-14:50","1-112","Українська мова (за професійним спрямуванням)","4","Кадочнікова О. ","2-14"
"ЧТ","08:30-09:50","3-220а","Алгебра та геометрія","1","Дяченко С. ","1-15"
"ЧТ","13:30-14:50","2-214","Процедурне програмування (на базі Сі/Сі++)","5","Борозенний С. ","1-15"
"ЧТ","15:00-16:20","2-214","Процедурне програмування (на базі Сі/Сі++)","6","Борозенний С. ","1-15"
"ПТ","08:30-09:50","3-220а","Психологія соціального впливу та успіху","1","Брик О. ","5-9"
"ПТ","10:00-11:20","8-8","Англійська мова","71","Тригуб О. ","1-15"
"ПТ","10:00-11:20","2-404","Англійська мова","72","Залєська Л. ","1-15"
"ПТ","10:00-11:20","4-320","Англійська мова","73","Сидорова О. ","1-15"
"ПТ","10:00-11:20","2-402","Англійська мова","74","Бражник Н. ","1-15"
"ПТ","11:40-13:00","1-223","Програмування","0","Глибовець А. ","1,3,5,7,9,11,13"
"ПТ","11:40-13:00","1-108","Програмування","1","Глибовець А. ","2,4,6,10,12,14,15"
"ПТ","13:30-14:50","1-108","Програмування","2","Глибовець А. ","2,4,6,10,12,14,15"
"ПТ","15:00-16:20","1-225","Основи економічної теорії","0","Бандура О. ","1-14"
"ПТ","16:30-17:50","1-225","Основи економічної теорії","1","Бандура О. ","2-13"
